@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "MACHINE"
@ PARTICLE         %01s "U"
@ MASS             %le       0.00051099891
@ CHARGE           %le                  28
@ ENERGY           %le              0.0114
@ PC               %le       0.01138854161
@ GAMMA            %le         22.30924524
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199935
@ ALFA             %le       0.03457780825
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.377758176
@ Q1               %le                4.17
@ Q2               %le                 3.2
@ DQ1              %le        -5.903281453
@ DQ2              %le        -4.631385546
@ DXMAX            %le         3.362140487
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.01781054
@ BETYMAX          %le         23.07663823
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.005684193
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %58s " -- SIS -- :  bend. quad. sex.  with correction to fringe "
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "28/02/12"
@ TIME             %08s "15.56.43"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "QS1F"              "QUADRUPOLE"               123.0899962               1.04                  0                  0
 "DR4"               "DRIFT"                    123.6899962                0.6                  0                  0
 "QS2D"              "QUADRUPOLE"               124.7299962               1.04                  0                  0
 "DR5"               "DRIFT"                    125.4397962             0.7098                  0                  0
 "QS3T"              "QUADRUPOLE"               125.9201962             0.4804                  0                  0
 "DR6"               "DRIFT"                    126.4199962             0.4998                  0                  0
 "DR1"               "DRIFT"                    127.0649962              0.645                  0                  0
 "RB"                "SBEND"                    129.6829901        2.617993878                  0                  0
 "DR2"               "DRIFT"                    130.6529901               0.97                  0                  0
 "RB"                "SBEND"                    133.2709839        2.617993878                  0                  0
 "DR3"               "DRIFT"                    140.1099956          6.8390117                  0                  0
 "QS1F"              "QUADRUPOLE"               141.1499956               1.04                  0                  0
 "DR4"               "DRIFT"                    141.7499956                0.6                  0                  0
 "QS2D"              "QUADRUPOLE"               142.7899956               1.04                  0                  0
 "DR5"               "DRIFT"                    143.4997956             0.7098                  0                  0
 "QS3T"              "QUADRUPOLE"               143.9801956             0.4804                  0                  0
 "DR6"               "DRIFT"                    144.4799956             0.4998                  0                  0
 "DR1"               "DRIFT"                    145.1249956              0.645                  0                  0
 "RB"                "SBEND"                    147.7429895        2.617993878                  0                  0
 "DR2"               "DRIFT"                    148.7129895               0.97                  0                  0
 "RB"                "SBEND"                    151.3309834        2.617993878                  0                  0
 "DR3"               "DRIFT"                    158.1699951          6.8390117                  0                  0
 "QS1F"              "QUADRUPOLE"               159.2099951               1.04                  0                  0
 "DR4"               "DRIFT"                    159.8099951                0.6                  0                  0
 "QS2D"              "QUADRUPOLE"               160.8499951               1.04                  0                  0
 "DR5"               "DRIFT"                    161.5597951             0.7098                  0                  0
 "QS3T"              "QUADRUPOLE"               162.0401951             0.4804                  0                  0
 "DR6"               "DRIFT"                    162.5399951             0.4998                  0                  0
 "DR1"               "DRIFT"                    163.1849951              0.645                  0                  0
 "RB"                "SBEND"                     165.802989        2.617993878                  0                  0
 "DR2"               "DRIFT"                     166.772989               0.97                  0                  0
