@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "SIS18"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099891
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951337
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7239467
@ ALFA             %le        0.0348900783
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.353638321
@ Q1               %le         4.155745949
@ Q2               %le         3.326765975
@ DQ1              %le        -6.204147258
@ DQ2              %le        -4.159503301
@ DXMAX            %le         3.384745016
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.10844082
@ BETYMAX          %le         23.29409786
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.050957256
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         7.778766405
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le       0.01994300298
@ TITLE            %08s "no-title"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "28/02/12"
@ TIME             %08s "15.31.43"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "DR2"               "DRIFT"                    45.60398109               0.97        -1.33185555      -0.8495738238
 "RB1"               "SBEND"                    46.91297803        1.308996939       -1.454899743      -0.8675415922
 "S03MU2A"           "HKICKER"                  46.91297803                  0       -1.454899743      -0.8675415922
 "RB2"               "SBEND"                    48.22197497        1.308996939       -1.513374212      -0.8976068866
 "DR3A"              "DRIFT"                    53.52197497                5.3         -1.4918772       -1.172092293
 "S03MB4"            "HKICKER"                  53.52197497                  0         -1.4918772       -1.172092293
 "DR3B"              "DRIFT"                    55.06197497               1.54       -1.471631926       -1.228568232
 "QS1F"              "QUADRUPOLE"               56.10197497               1.04       -1.458067412       -1.243800007
 "S03KM2DV"          "VKICKER"                  56.10197497                  0       -1.458067412       -1.243800007
 "DR4"               "DRIFT"                    56.70197497                0.6       -1.448579119       -1.244453976
 "QS2D"              "QUADRUPOLE"               57.74197497               1.04       -1.432030851       -1.242174003
 "DR5"               "DRIFT"                    58.45177497             0.7098       -1.426579623       -1.240694752
 "QS3T"              "QUADRUPOLE"               58.93217497             0.4804       -1.427541963        -1.23998238
 "DR6"               "DRIFT"                    59.43197497             0.4998       -1.434297635        -1.23947935
 "S03DX5H"           "HMONITOR"                 59.43197497                  0       -1.434297635        -1.23947935
 "S03DX5V"           "VMONITOR"                 59.43197497                  0       -1.434297635        -1.23947935
 "DR1"               "DRIFT"                    60.07697497              0.645       -1.454795876        -1.23921849
 "RB"                "SBEND"                    62.69496885        2.617993878       -1.696534618       -1.244019537
 "DR2"               "DRIFT"                    63.66496885               0.97       -1.825701765       -1.252539026
 "RB"                "SBEND"                    66.28296272        2.617993878       -2.007163626       -1.299948814
 "DR3"               "DRIFT"                    73.12197442          6.8390117       -1.965871014       -1.626388329
 "QS1F"              "QUADRUPOLE"               74.16197442               1.04       -1.952356149       -1.641482666
 "DR4"               "DRIFT"                    74.76197442                0.6       -1.942909938       -1.642120756
 "QS2D"              "QUADRUPOLE"               75.80197442               1.04       -1.926483001       -1.639841958
 "DR5"               "DRIFT"                    76.51177442             0.7098       -1.921134445       -1.638376137
 "QS3T"              "QUADRUPOLE"               76.99217442             0.4804       -1.922169243       -1.637680184
 "DR6"               "DRIFT"                    77.49197442             0.4998       -1.929001475       -1.637201287
 "DR1"               "DRIFT"                    78.13697442              0.645        -1.94959436       -1.636983339
 "RB"                "SBEND"                     80.7549683        2.617993878       -2.191434211       -1.642144117
 "DR2"               "DRIFT"                     81.7249683               0.97       -2.320482588       -1.650905369
 "RB"                "SBEND"                    84.34296218        2.617993878       -2.501534072       -1.699425952
 "DR3"               "DRIFT"                    91.18197388          6.8390117       -2.459780302       -2.029041619
 "QS1F"              "QUADRUPOLE"               92.22197388               1.04       -2.446238371       -2.043932564
 "DR4"               "DRIFT"                    92.82197388                0.6       -2.436771892       -2.044472896
 "QS2D"              "QUADRUPOLE"               93.86197388               1.04        -2.42030004       -2.042063328
 "DR5"               "DRIFT"                    94.57177388             0.7098       -2.414928791       -2.040499082
 "QS3T"              "QUADRUPOLE"               95.05217388             0.4804       -2.415956965       -2.039726141
 "DR6"               "DRIFT"                    95.55197388             0.4998       -2.422792512       -2.039158963
 "DR1"               "DRIFT"                    96.19697388              0.645       -2.443409915       -2.038814585
 "RB1"               "SBEND"                    97.50597082        1.308996939       -2.531391644       -2.038863666
 "S06MU1A"           "HKICKER"                  97.50597082                  0       -2.531391644       -2.038863666
 "RB2"               "SBEND"                    98.81496776        1.308996939       -2.685609512       -2.043291184
 "DR2"               "DRIFT"                    99.78496776               0.97         -2.8148341       -2.051704142
 "RB1"               "SBEND"                    101.0939647        1.308996939       -2.937771935       -2.069378642
 "S06MU2A"           "HKICKER"                  101.0939647                  0       -2.937771935       -2.069378642
 "RB2"               "SBEND"                    102.4029616        1.308996939       -2.996195954       -2.099021711
 "DR3"               "DRIFT"                    109.2419733          6.8390117       -2.954524768       -2.427692305
 "ACCEPTANCE"        "MARKER"                   109.2419733                  0       -2.954524768       -2.427692305
 "QS1F"              "QUADRUPOLE"               110.2819733               1.04       -2.940972195       -2.443021995
