@ NAME             %11s "SECTORTABLE"
@ TYPE             %09s "SECTORMAP"
@ TITLE            %84s " -- SIS -- :  bend. quad. sex.  with correction to fringe with kickers for injection"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "20/03/12"
@ TIME             %08s "11.45.55"
* NAME                              POS                 K1                 K2                 K3                 K4                 K5                 K6                R11                R21                R31                R41                R51                R61                R12                R22                R32                R42                R52                R62                R13                R23                R33                R43                R53                R63                R14                R24                R34                R44                R54                R64                R15                R25                R35                R45                R55                R65                R16                R26                R36                R46                R56                R66               T111               T211               T311               T411               T511               T611               T121               T221               T321               T421               T521               T621               T131               T231               T331               T431               T531               T631               T141               T241               T341               T441               T541               T641               T151               T251               T351               T451               T551               T651               T161               T261               T361               T461               T561               T661               T112               T212               T312               T412               T512               T612               T122               T222               T322               T422               T522               T622               T132               T232               T332               T432               T532               T632               T142               T242               T342               T442               T542               T642               T152               T252               T352               T452               T552               T652               T162               T262               T362               T462               T562               T662               T113               T213               T313               T413               T513               T613               T123               T223               T323               T423               T523               T623               T133               T233               T333               T433               T533               T633               T143               T243               T343               T443               T543               T643               T153               T253               T353               T453               T553               T653               T163               T263               T363               T463               T563               T663               T114               T214               T314               T414               T514               T614               T124               T224               T324               T424               T524               T624               T134               T234               T334               T434               T534               T634               T144               T244               T344               T444               T544               T644               T154               T254               T354               T454               T554               T654               T164               T264               T364               T464               T564               T664               T115               T215               T315               T415               T515               T615               T125               T225               T325               T425               T525               T625               T135               T235               T335               T435               T535               T635               T145               T245               T345               T445               T545               T645               T155               T255               T355               T455               T555               T655               T165               T265               T365               T465               T565               T665               T116               T216               T316               T416               T516               T616               T126               T226               T326               T426               T526               T626               T136               T236               T336               T436               T536               T636               T146               T246               T346               T446               T546               T646               T156               T256               T356               T456               T556               T656               T166               T266               T366               T466               T566               T666 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "SIS18$START"                        0                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0
 "INJ"                                0                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0
 "DR3H"                            0.88                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.88                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0               0.88                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.297855597e-07                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4400000574                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4400000574                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4400000574                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4400000574                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4400000574                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4400000574                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -3.446783846e-07                  0
 "QS1F"                            1.92                  0                  0                  0                  0                  0                  0       0.8493837869      -0.2821467028                  0                  0                  0                  0       0.9872423806       0.8493837869                  0                  0                  0                  0                  0                  0        1.158579258       0.3127755421                  0                  0                  0                  0        1.094413891        1.158579258                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647524e-07                  1                  0                  0                  0                  0     -0.01439340498                  0                  0                  0                  0                  0      0.06963680472                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       0.0733581523    -0.007422270018                  0                  0                  0                  0                  0                  0                  0                  0      0.06963680472                  0                  0                  0                  0                  0      -0.4696369793                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4676504408       0.0733581523                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.01628770423                  0                  0                  0                  0                  0     -0.08557648569                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.08132165157    -0.007895635422                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.08557648569                  0                  0                  0                  0                  0      -0.5769913839                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.574834155     -0.08132165157                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       0.0733581523    -0.007422270018                  0                  0                  0                  0      -0.4676504408       0.0733581523                  0                  0                  0                  0                  0                  0     -0.08132165157    -0.007895635422                  0                  0                  0                  0       -0.574834155     -0.08132165157                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -4.073471817e-07                  0
 "DR4"                             2.52                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0                0.6                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.566719725e-07                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3000000392                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3000000392                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3000000392                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3000000392                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3000000392                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3000000392                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -2.350079895e-07                  0
 "QS2D"                            3.56                  0                  0                  0                  0                  0                  0          1.2818159       0.5660797863                  0                  0                  0                  0        1.135974146          1.2818159                  0                  0                  0                  0                  0                  0       0.7423969327      -0.4729374048                  0                  0                  0                  0       0.9490617359       0.7423969327                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    2.715647524e-07                  1                  0                  0                  0                  0     -0.05183906134                  0                  0                  0                  0                  0      -0.1607630215                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.1471807637     -0.02455656377                  0                  0                  0                  0                  0                  0                  0                  0      -0.1607630215                  0                  0                  0                  0                  0      -0.6240275122                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.6172657512      -0.1471807637                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.04178664894                  0                  0                  0                  0                  0       0.1122117132                  0                  0                  0                  0                  0                  0                  0                  0                  0       0.1229637413     -0.02204683645                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       0.1122117132                  0                  0                  0                  0                  0      -0.4361451874                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.4302886927       0.1229637413                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.1471807637     -0.02455656377                  0                  0                  0                  0      -0.6172657512      -0.1471807637                  0                  0                  0                  0                  0                  0       0.1229637413     -0.02204683645                  0                  0                  0                  0      -0.4302886927       0.1229637413                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -4.073471817e-07                  0
 "DR5"                           4.2698                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0             0.7098                  1                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0    1.853429435e-07                  1                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3549000463                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3549000463                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3549000463                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3549000463                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3549000463                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.3549000463                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -2.780144515e-07                  0
 "QS3T"                          4.7502                  0                  0                  0                  0                  0                  0       0.9252530002      -0.3072505768                  0                  0                  0                  0       0.4683697817       0.9252530002                  0                  0                  0                  0                  0                  0        1.076657048       0.3231546099                  0                  0                  0                  0       0.4926137346        1.076657048                  0                  0                  0                  0                  0                  0                  1                  0                  0                  0                  0                  0     1.25442026e-07                  1                  0                  0                  0                  0    -0.007714471503                  0                  0                  0                  0                  0       0.0359767261                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03690079909    -0.003916031942                  0                  0                  0                  0                  0                  0                  0                  0       0.0359767261                  0                  0                  0                  0                  0      -0.2284401663                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.2282153606      0.03690079909                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0    -0.008196073162                  0                  0                  0                  0                  0       -0.039797605                  0                  0                  0                  0                  0                  0                  0                  0                  0     -0.03881087372    -0.004036419583                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0       -0.039797605                  0                  0                  0                  0                  0      -0.2526940453                  0                  0                  0                  0                  0                  0                  0                  0                  0      -0.2524599781     -0.03881087372                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0      0.03690079909    -0.003916031942                  0                  0                  0                  0      -0.2282153606      0.03690079909                  0                  0                  0                  0                  0                  0     -0.03881087372    -0.004036419583                  0                  0                  0                  0      -0.2524599781     -0.03881087372                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0                  0   -1.881630636e-07                  0
