14.73	-0.656955795	0.345028022	
16.37	-0.410359121	-0.26855942	
17.56	-0.44607349	-0.172541243	
32.79	-1.103029285	0.17248678				
34.43	-0.856432611	-0.441100662				
35.62	-0.892146981	-0.345082485				
50.85	-1.549102776	-5.44628E-05				
52.49	-1.302506102	-0.613641905				
53.68	-1.338220471	-0.517623728				
69.81	-1.995176266	-0.172595705				
70.55	-1.748579592	-0.786183147				
71.74	-1.784293961	-0.69016497				
86.97	-2.441249756	-0.345136948				
88.61	-2.194653082	-0.95872439				
89.8		-2.230367451	-0.862706213				
105.03	-2.887323247	-0.51767819				
106.67	-2.640726572	-1.131265632				
107.86	-2.676440942	-1.035247455				
123.09	-3.333396737	-0.690219433				
124.73	-3.086800063	-1.303806875				
125.92	-3.122514432	-1.207788698				
141.15	-3.779470227	-0.862760676				
142.79	-3.532873553	-1.476348117				
143.98	-3.568587922	-1.38032994				
159.21	-4.225543717	-1.035301918				
160.85	-3.978947043	-1.64888936				
162.04	-4.014661412	-1.552871183				
177.27	-4.671617208	-1.207843161				
178.91	-4.425020533	-1.821430603				
180.1	-4.460734903	-1.725412425				
195.33	-5.117690698	-1.380384403				
196.97	-4.871094024	-1.993971845				
198.16	-4.906808393	-1.897953668				
213.39	-5.563764188	-1.552925646				
215.03	-5.317167514	-2.166513088				
216.22	-5.352881883	-2.07049491				
