@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "SIS18"
@ PARTICLE         %08s "POSITRON"
@ MASS             %le       0.00051099891
@ CHARGE           %le                   1
@ ENERGY           %le                   1
@ PC               %le        0.9999998694
@ GAMMA            %le         1956.951337
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7239467
@ ALFA             %le       0.04514948592
@ ORBIT5           %le                  -0
@ GAMMATR          %le         4.706234846
@ Q1               %le         4.170003259
@ Q2               %le         3.350001571
@ DQ1              %le        -4.235271142
@ DQ2              %le        -5.691014784
@ DXMAX            %le         2.825565125
@ DYMAX            %le                   0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         15.29454492
@ BETYMAX          %le         28.24271461
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le          2.29646543
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         10.08830407
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le       0.02901817331
@ TITLE            %84s " -- SIS -- :  bend. quad. sex.  with correction to fringe with kickers for injection"
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "08/03/12"
@ TIME             %08s "13.34.30"
* NAME               KEYWORD                             S                  L                MUX                MUY               ALFX               ALFY               BETX               BETY                 DX               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "RB"                "SBEND"                    12.10098776        2.617993878       0.2144543501       0.1650860995    -0.004734018184        0.179976942         5.35737385        7.912279526        1.537942376      -0.1306485946      -0.2212575724
 "DR3A"              "DRIFT"                    17.40098776                5.3        0.338225765       0.2686844504      -0.9940468656      -0.5115653613        10.65091253        9.669698149        2.519067886      -0.3200115955      -0.4995970401
 "S01MB3"            "HKICKER"                  17.40098776                  0        0.338225765       0.2686844504      -0.9940468656      -0.5115653613        10.65091253        9.669698149        2.519067886      -0.3200115955      -0.4995970401
 "DR3B"              "DRIFT"                    18.94098776               1.54       0.3582397533       0.2919547685        -1.28150758      -0.7125040683        14.15526638        11.55476507        2.804149638      -0.3172552861       -0.523818772
 "QS1F"              "QUADRUPOLE"               19.14898776              0.208       0.3605443499       0.2947717236      -0.4539148759       -1.450108065        14.51772938        12.00274357        2.825256736      -0.3162190999      -0.5253248665
 "QS1F"              "QUADRUPOLE"               19.35698776              0.208       0.3628190465       0.2974511514       0.3960352424       -2.259727802        14.52981821        12.77122473        2.811466822        -0.31510686       -0.526401606
 "QS1F"              "QUADRUPOLE"               19.56498776              0.208       0.3651197869        0.299941141        1.226478787        -3.18157088        14.19093744        13.89837312        2.762950227      -0.3139498217      -0.5270309787
 "QS1F"              "QUADRUPOLE"               19.77298776              0.208       0.3675051043       0.3022057058        1.996512558       -4.261418171        13.51777851        15.44016556        2.680306217      -0.3127775442      -0.5272390537
 "QS1F"              "QUADRUPOLE"               19.98098776              0.208       0.3700422448       0.3042253641         2.66820882       -5.552897403        12.54349764        17.47317104        2.564555594      -0.3116273103      -0.5270846503
 "DR4"               "DRIFT"                    20.58098776                0.6       0.3787602532       0.3088140168        2.279832059       -6.646047678        9.574673115        24.79253809        2.184188397      -0.3088876436      -0.5253742445
 "QS2D"              "QUADRUPOLE"               20.78898776              0.208       0.3823700156       0.3100874012        1.235515351       -4.202077965         8.84869061        27.06530488        2.075440636      -0.3082972906      -0.5245692518
 "QS2D"              "QUADRUPOLE"               20.99698776              0.208       0.3861940574       0.3112805582       0.2985142294       -1.398328528        8.531885894        28.23863365        2.011518495      -0.3078675943      -0.5237308852
 "QS2D"              "QUADRUPOLE"               21.20498776              0.208        0.390073742       0.3124492135      -0.6125582546        1.525145069        8.596741637         28.2120646        1.991041376      -0.3074711571      -0.5228812859
 "QS2D"              "QUADRUPOLE"               21.41298776              0.208       0.3938409431       0.3136446435       -1.576836916         4.31803654        9.048891142        26.98787255        2.013567011       -0.306966304      -0.5220357975
