@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %07s "MACHINE"
@ PARTICLE         %01s "U"
@ MASS             %le       0.00051099891
@ CHARGE           %le                  28
@ ENERGY           %le              0.0114
@ PC               %le       0.01138854161
@ GAMMA            %le         22.30924524
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le                   0
@ SIGT             %le                   0
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le                   1
@ LENGTH           %le         216.7199935
@ ALFA             %le       0.03456888728
@ ORBIT5           %le                  -0
@ GAMMATR          %le         5.378452032
@ Q1               %le                4.17
@ Q2               %le                 3.3
@ DQ1              %le        -6.236264228
@ DQ2              %le        -4.122485803
@ DXMAX            %le          3.37167932
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         29.20713412
@ BETYMAX          %le          23.2423498
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         2.006051227
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le         7.816065905
@ SYNCH_2          %le        0.6283185307
@ SYNCH_3          %le       0.06283185307
@ SYNCH_4          %le                   0
@ SYNCH_5          %le         0.020458605
@ TITLE            %58s " -- SIS -- :  bend. quad. sex.  with correction to fringe "
@ ORIGIN           %19s "MAD-X 5.00.00 Linux"
@ DATE             %08s "16/03/12"
@ TIME             %08s "11.22.19"
* NAME               KEYWORD                             S                  L               DMUX               DMUY 
$ %s                 %s                                %le                %le                %le                %le 
 "RB"                "SBEND"                    93.56299116        2.617993878       -2.753203232       -1.994859461
 "DR2"               "DRIFT"                    94.53299116               0.97       -2.885077846       -2.003617592
 "RB"                "SBEND"                    97.15098504        2.617993878        -3.06941222       -2.051221575
 "DR3"               "DRIFT"                    103.9899967          6.8390117       -3.025356456       -2.375040461
 "QS1F"              "QUADRUPOLE"               105.0299967               1.04       -3.011580632        -2.39068374
 "DR4"               "DRIFT"                    105.6299967                0.6       -3.001913583       -2.391532424
 "QS2D"              "QUADRUPOLE"               106.6699967               1.04       -2.984817412       -2.389495129
 "DR5"               "DRIFT"                    107.3797967             0.7098       -2.978878968       -2.388184028
 "QS3T"              "QUADRUPOLE"               107.8601967             0.4804        -2.97949991       -2.387595229
 "DR6"               "DRIFT"                    108.3599967             0.4998       -2.985915936       -2.387226031
 "DR1"               "DRIFT"                    109.0049967              0.645       -3.006083289       -2.387143517
 "RB"                "SBEND"                    111.6229906        2.617993878       -3.250855888       -2.392730467
 "DR2"               "DRIFT"                    112.5929906               0.97       -3.382730502       -2.401488597
 "RB"                "SBEND"                    115.2109845        2.617993878       -3.567064876        -2.44909258
 "DR3"               "DRIFT"                    122.0499962          6.8390117       -3.523009112       -2.772911466
 "QS1F"              "QUADRUPOLE"               123.0899962               1.04       -3.509233288       -2.788554745
 "DR4"               "DRIFT"                    123.6899962                0.6       -3.499566239       -2.789403429
 "QS2D"              "QUADRUPOLE"               124.7299962               1.04       -3.482470068       -2.787366134
 "DR5"               "DRIFT"                    125.4397962             0.7098       -3.476531624       -2.786055034
 "QS3T"              "QUADRUPOLE"               125.9201962             0.4804       -3.477152566       -2.785466234
 "DR6"               "DRIFT"                    126.4199962             0.4998       -3.483568592       -2.785097037
 "DR1"               "DRIFT"                    127.0649962              0.645       -3.503735945       -2.785014523
 "RB"                "SBEND"                    129.6829901        2.617993878       -3.748508544       -2.790601472
 "DR2"               "DRIFT"                    130.6529901               0.97       -3.880383158       -2.799359602
 "RB"                "SBEND"                    133.2709839        2.617993878       -4.064717532       -2.846963585
 "DR3"               "DRIFT"                    140.1099956          6.8390117       -4.020661768       -3.170782471
 "QS1F"              "QUADRUPOLE"               141.1499956               1.04       -4.006885944        -3.18642575
 "DR4"               "DRIFT"                    141.7499956                0.6       -3.997218895       -3.187274434
 "QS2D"              "QUADRUPOLE"               142.7899956               1.04       -3.980122724       -3.185237139
 "DR5"               "DRIFT"                    143.4997956             0.7098        -3.97418428       -3.183926039
 "QS3T"              "QUADRUPOLE"               143.9801956             0.4804       -3.974805222        -3.18333724
 "DR6"               "DRIFT"                    144.4799956             0.4998       -3.981221248       -3.182968042
 "DR1"               "DRIFT"                    145.1249956              0.645       -4.001388601       -3.182885528
 "RB"                "SBEND"                    147.7429895        2.617993878         -4.2461612       -3.188472477
 "DR2"               "DRIFT"                    148.7129895               0.97       -4.378035814       -3.197230607
 "RB"                "SBEND"                    151.3309834        2.617993878       -4.562370188        -3.24483459
 "DR3"               "DRIFT"                    158.1699951          6.8390117       -4.518314424       -3.568653477
 "QS1F"              "QUADRUPOLE"               159.2099951               1.04         -4.5045386       -3.584296755
 "DR4"               "DRIFT"                    159.8099951                0.6       -4.494871551        -3.58514544
 "QS2D"              "QUADRUPOLE"               160.8499951               1.04        -4.47777538       -3.583108144
 "DR5"               "DRIFT"                    161.5597951             0.7098       -4.471836936       -3.581797044
 "QS3T"              "QUADRUPOLE"               162.0401951             0.4804       -4.472457878       -3.581208245
 "DR6"               "DRIFT"                    162.5399951             0.4998       -4.478873904       -3.580839047
 "DR1"               "DRIFT"                    163.1849951              0.645       -4.499041257       -3.580756533
 "RB"                "SBEND"                     165.802989        2.617993878       -4.743813856       -3.586343482
 "DR2"               "DRIFT"                     166.772989               0.97        -4.87568847       -3.595101613
 "RB"                "SBEND"                    169.3909829        2.617993878       -5.060022844       -3.642705596
 "DR3"               "DRIFT"                    176.2299946          6.8390117        -5.01596708       -3.966524482
 "QS1F"              "QUADRUPOLE"               177.2699946               1.04       -5.002191256        -3.98216776
 "DR4"               "DRIFT"                    177.8699946                0.6       -4.992524207       -3.983016445
 "QS2D"              "QUADRUPOLE"               178.9099946               1.04       -4.975428036        -3.98097915
 "DR5"               "DRIFT"                    179.6197946             0.7098       -4.969489592       -3.979668049
 "QS3T"              "QUADRUPOLE"               180.1001946             0.4804       -4.970110534        -3.97907925
 "DR6"               "DRIFT"                    180.5999946             0.4998        -4.97652656       -3.978710052
 "DR1"               "DRIFT"                    181.2449946              0.645       -4.996693913       -3.978627538
 "RB"                "SBEND"                    183.8629884        2.617993878       -5.241466512       -3.984214488
 "DR2"               "DRIFT"                    184.8329884               0.97       -5.373341126       -3.992972618
 "RB"                "SBEND"                    187.4509823        2.617993878         -5.5576755       -4.040576601
 "DR3"               "DRIFT"                     194.289994          6.8390117       -5.513619736       -4.364395487
 "QS1F"              "QUADRUPOLE"                195.329994               1.04       -5.499843912       -4.380038766
 "DR4"               "DRIFT"                     195.929994                0.6       -5.490176863        -4.38088745
 "QS2D"              "QUADRUPOLE"                196.969994               1.04       -5.473080692       -4.378850155
 "DR5"               "DRIFT"                     197.679794             0.7098       -5.467142248       -4.377539055
 "QS3T"              "QUADRUPOLE"                198.160194             0.4804        -5.46776319       -4.376950255
 "DR6"               "DRIFT"                     198.659994             0.4998       -5.474179216       -4.376581058
 "DR1"               "DRIFT"                     199.304994              0.645       -5.494346569       -4.376498544
 "RB"                "SBEND"                    201.9229879        2.617993878       -5.739119168       -4.382085493
 "DR2"               "DRIFT"                    202.8929879               0.97       -5.870993782       -4.390843623
 "RB"                "SBEND"                    205.5109818        2.617993878       -6.055328156       -4.438447606
 "DR3"               "DRIFT"                    212.3499935          6.8390117       -6.011272392       -4.762266492
 "QS1F"              "QUADRUPOLE"               213.3899935               1.04       -5.997496568       -4.777909771
 "DR4"               "DRIFT"                    213.9899935                0.6       -5.987829519       -4.778758455
 "QS2D"              "QUADRUPOLE"               215.0299935               1.04       -5.970733348        -4.77672116
 "DR5"               "DRIFT"                    215.7397935             0.7098       -5.964794904        -4.77541006
 "QS3T"              "QUADRUPOLE"               216.2201935             0.4804       -5.965415846       -4.774821261
 "DR6"               "DRIFT"                    216.7199935             0.4998       -5.971831872       -4.774452063
 "MACHINE$END"       "MARKER"                   216.7199935                  0       -5.971831872       -4.774452063
